t,alt_agl_m,vz_mps,vx_mps,vy_mps,wind_x_mps,wind_y_mps,wind_z_mps,aoa_deg,roll_deg,yaw_rate_dps,contact_flag,airspeed_mps,ground_speed_mps,pos_x_m,pos_y_m,heading_deg,battery_pct,gps_satellites,phase,system_status,comm_status,lift_coeff,drag_coeff,contact_force_n,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,scenario,ld_ratio
0.7,4995.73,-5.961,2.684,25.002,2.68,0.72,-0.01,13.77,2.95,1.13,0,25.0,25.15,1.91,17.77,83.9,99.8,8,descent,nominal,active,0.8,0.15,0.0,0.103,0.014,-9.384,-0.025,0.017,0.009,normal_descent,4.22
0.75,4995.42,-6.047,2.699,24.855,2.7,0.6,0.09,14.19,0.66,0.87,0,25.02,25.0,2.04,19.01,83.8,99.8,8,descent,nominal,active,0.8,0.15,0.0,0.155,-0.038,-10.066,0.005,0.032,0.035,normal_descent,4.13
0.8,4995.14,-5.608,2.77,24.899,2.77,0.54,0.33,13.7,4.25,-0.09,0,25.08,25.05,2.18,20.26,83.7,99.8,8,descent,nominal,active,0.8,0.15,0.0,0.243,0.176,-9.773,-0.037,-0.027,0.076,normal_descent,4.47
0.85,4994.84,-6.115,3.114,24.564,3.11,0.32,0.1,14.39,0.67,1.45,0,25.03,24.76,2.34,21.49,82.8,99.8,8,descent,nominal,active,0.8,0.15,0.0,0.264,0.001,-9.811,-0.005,0.007,0.058,normal_descent,4.05
0.9,4994.51,-6.615,3.095,24.294,3.09,0.19,-0.18,14.95,-0.38,2.1,0,24.95,24.49,2.49,22.7,82.7,99.8,8,descent,nominal,active,0.8,0.15,0.0,0.112,-0.008,-9.627,-0.04,0.001,-0.005,normal_descent,3.7
0.95,4994.22,-5.839,3.387,24.52,3.39,0.21,-0.32,12.79,5.35,3.86,0,24.93,24.75,2.66,23.93,82.1,99.7,8,descent,nominal,active,0.8,0.15,0.0,0.178,0.041,-9.775,-0.033,0.002,0.017,normal_descent,4.24
1.0,4993.9,-6.256,3.294,24.148,3.29,-0.06,-0.43,13.54,-2.21,-1.09,0,24.9,24.37,2.83,25.13,82.2,99.7,8,descent,nominal,active,0.8,0.15,0.0,0.232,0.091,-9.956,-0.02,-0.043,-0.008,normal_descent,3.9
1.05,4993.59,-6.263,3.251,23.833,3.25,-0.37,-0.72,12.89,-1.29,0.5,0,24.83,24.05,2.99,26.32,82.2,99.7,8,descent,nominal,active,0.8,0.15,0.0,0.413,-0.14,-10.029,0.055,0.058,-0.054,normal_descent,3.84
1.1,4993.32,-5.481,3.011,24.069,3.01,-0.32,-0.49,11.55,-0.02,-1.27,0,24.9,24.26,3.14,27.53,82.9,99.7,8,descent,nominal,active,0.8,0.15,0.0,0.243,-0.062,-9.837,-0.041,-0.005,-0.024,normal_descent,4.43
1.15,4993.02,-5.859,3.237,24.116,3.24,-0.19,-0.38,12.71,2.86,0.68,0,24.91,24.33,3.3,28.73,82.4,99.7,8,descent,nominal,active,0.8,0.15,0.0,0.205,-0.019,-9.954,0.009,-0.002,0.053,normal_descent,4.15
1.2,4992.71,-6.229,2.97,24.379,2.97,0.17,-0.29,13.78,0.78,0.19,0,24.93,24.56,3.45,29.95,83.1,99.7,8,descent,nominal,active,0.8,0.15,0.0,0.248,-0.123,-9.625,0.014,-0.022,-0.006,normal_descent,3.94
1.25,4992.41,-6.088,2.949,24.421,2.95,0.17,-0.24,13.57,-3.25,0.74,0,24.94,24.6,3.6,31.17,83.1,99.7,8,descent,nominal,active,0.8,0.15,0.0,0.347,-0.188,-9.857,0.005,0.006,-0.002,normal_descent,4.04
1.3,4992.13,-5.482,2.61,24.82,2.61,0.43,-0.29,12.01,3.0,1.09,0,24.94,24.96,3.73,32.42,84.0,99.7,8,descent,nominal,active,0.8,0.15,0.0,0.194,-0.041,-9.877,0.039,0.012,0.073,normal_descent,4.55
1.35,4991.86,-5.477,2.738,25.049,2.74,0.66,-0.34,11.9,3.33,1.83,0,24.93,25.2,3.87,33.67,83.8,99.6,8,descent,nominal,active,0.8,0.15,0.0,0.207,0.01,-9.612,-0.035,0.016,0.027,normal_descent,4.6
1.4,4991.59,-5.454,2.921,24.729,2.92,0.33,-0.33,11.87,0.56,-2.27,0,24.93,24.9,4.01,34.9,83.3,99.6,8,descent,nominal,active,0.8,0.15,0.0,0.083,-0.008,-9.508,0.019,-0.014,-0.014,normal_descent,4.57
1.45,4991.28,-6.201,2.996,24.858,3.0,0.64,-0.17,14.0,-0.22,1.5,0,24.96,25.04,4.16,36.15,83.1,99.6,8,descent,nominal,active,0.8,0.15,0.0,-0.029,0.088,-9.796,0.012,0.032,-0.03,normal_descent,4.04
1.5,4990.95,-6.474,3.327,24.896,3.33,0.75,0.04,15.09,-0.6,0.08,0,25.01,25.12,4.33,37.39,82.4,99.6,8,descent,nominal,active,0.8,0.15,0.0,0.143,0.14,-9.596,0.007,0.005,0.046,normal_descent,3.88
1.55,4990.65,-6.046,3.388,25.249,3.39,0.99,-0.2,13.54,1.51,3.15,0,24.95,25.48,4.5,38.65,82.4,99.6,8,descent,nominal,active,0.8,0.15,0.0,0.187,0.218,-9.959,-0.025,0.004,0.075,normal_descent,4.21
1.6,4990.36,-5.743,3.547,25.447,3.55,1.12,0.33,14.02,-1.53,-1.95,0,25.08,25.69,4.67,39.93,82.1,99.6,8,descent,nominal,active,0.8,0.15,0.0,0.179,-0.049,-9.489,-0.014,0.002,0.095,normal_descent,4.47
1.65,4990.04,-6.48,3.328,25.351,3.33,1.21,0.43,15.96,3.21,0.88,0,25.11,25.57,4.84,41.19,82.5,99.6,8,descent,nominal,active,0.8,0.15,0.0,0.228,0.008,-10.272,0.002,-0.009,0.074,normal_descent,3.95
1.7,4989.75,-5.772,3.355,25.633,3.36,1.31,0.24,13.87,1.73,2.31,0,25.06,25.85,5.01,42.48,82.5,99.5,8,descent,nominal,active,0.8,0.15,0.0,0.182,0.147,-9.646,-0.012,0.01,0.057,normal_descent,4.48
1.75,4989.42,-6.598,3.039,25.067,3.04,0.95,-0.3,14.63,1.29,3.18,0,24.92,25.25,5.16,43.73,83.1,99.5,8,descent,nominal,active,0.8,0.15,0.0,0.132,0.155,-9.867,0.006,0.022,0.088,normal_descent,3.83
1.8,4989.12,-5.972,2.848,25.101,2.85,0.82,-0.61,12.45,-0.84,1.36,0,24.86,25.26,5.3,44.98,83.5,99.5,8,descent,nominal,active,0.8,0.15,0.0,0.111,0.054,-9.649,0.052,-0.028,0.053,normal_descent,4.23
1.85,4988.82,-6.039,2.45,25.305,2.45,1.05,-0.7,12.41,2.29,3.16,0,24.84,25.42,5.43,46.25,84.5,99.5,8,descent,nominal,active,0.8,0.15,0.0,0.147,0.019,-9.941,0.013,-0.004,0.062,normal_descent,4.21
1.9,4988.52,-6.103,2.161,25.524,2.16,1.28,-0.72,12.51,2.06,0.96,0,24.83,25.62,5.53,47.53,85.2,99.5,8,descent,nominal,active,0.8,0.15,0.0,0.311,0.159,-9.836,0.01,0.039,0.126,normal_descent,4.2
1.95,4988.23,-5.677,2.035,25.681,2.04,1.33,-0.67,11.61,1.41,4.54,0,24.86,25.76,5.63,48.81,85.5,99.5,8,descent,nominal,active,0.8,0.15,0.0,0.231,0.067,-10.128,-0.062,-0.022,0.053,normal_descent,4.54
2.0,4987.95,-5.668,1.892,25.736,1.89,1.39,-0.72,11.5,2.09,5.89,0,24.85,25.8,5.73,50.1,85.8,99.5,8,descent,nominal,active,0.8,0.15,0.0,0.172,0.153,-9.686,-0.01,0.021,0.035,normal_descent,4.55
2.05,4987.65,-5.933,2.296,25.664,2.3,1.38,-0.53,12.54,4.24,1.42,0,24.88,25.77,5.84,51.38,84.9,99.5,8,descent,nominal,active,0.8,0.15,0.0,0.194,0.124,-9.966,0.013,-0.017,0.089,normal_descent,4.34
2.1,4987.35,-6.086,2.45,25.529,2.45,1.28,-0.28,13.46,0.48,-2.36,0,24.93,25.65,5.97,52.66,84.5,99.4,8,descent,nominal,active,0.8,0.15,0.0,0.017,0.101,-10.208,-0.045,0.027,0.091,normal_descent,4.21
2.15,4987.0,-6.889,2.37,25.833,2.37,1.8,-0.16,15.63,4.28,1.59,0,24.96,25.94,6.09,53.95,84.8,99.4,8,descent,nominal,active,0.8,0.15,0.0,0.144,0.217,-10.122,-0.009,0.002,0.087,normal_descent,3.77
2.2,4986.71,-5.8,2.263,26.26,2.26,1.94,0.21,13.89,5.82,1.23,0,25.05,26.36,6.2,55.26,85.1,99.4,8,descent,nominal,active,0.8,0.15,0.0,0.103,0.123,-9.543,-0.006,0.028,0.084,normal_descent,4.54
2.25,4986.42,-5.923,2.668,26.078,2.67,1.79,-0.01,13.67,-2.1,-0.68,0,25.0,26.21,6.33,56.56,84.2,99.4,8,descent,nominal,active,0.8,0.15,0.0,0.155,0.215,-10.123,0.019,-0.011,0.124,normal_descent,4.43
2.3,4986.09,-6.506,2.509,25.925,2.51,1.79,-0.05,14.97,3.45,2.01,0,24.99,26.05,6.46,57.86,84.5,99.4,8,descent,nominal,active,0.8,0.15,0.0,0.175,0.166,-9.769,-0.03,0.014,0.109,normal_descent,4.0
2.35,4985.8,-5.911,3.0,25.999,3.0,1.71,-0.12,13.41,2.66,-0.68,0,24.97,26.17,6.61,59.16,83.4,99.4,8,descent,nominal,active,0.8,0.15,0.0,0.125,0.088,-10.059,-0.027,-0.001,0.095,normal_descent,4.43
2.4,4985.51,-5.73,3.166,25.953,3.17,1.62,-0.25,12.68,2.81,-2.1,0,24.94,26.15,6.77,60.46,83.0,99.4,8,descent,nominal,active,0.8,0.15,0.0,0.255,0.177,-10.1,-0.002,0.005,0.054,normal_descent,4.56
2.45,4985.23,-5.599,3.432,25.881,3.43,1.52,-0.15,12.6,-0.08,-0.92,0,24.97,26.11,6.94,61.75,82.4,99.3,8,descent,nominal,active,0.8,0.15,0.0,-0.041,0.059,-9.869,-0.032,0.014,0.136,normal_descent,4.66
2.5,4984.93,-5.929,3.76,25.491,3.76,1.2,-0.09,13.53,2.29,-2.95,0,24.98,25.77,7.13,63.03,81.6,99.3,8,descent,nominal,active,0.8,0.15,0.0,0.382,-0.012,-10.066,-0.013,-0.01,0.085,normal_descent,4.35
2.55,4984.64,-5.845,3.574,25.781,3.57,1.47,-0.22,13.03,0.14,1.21,0,24.95,26.03,7.3,64.32,82.1,99.3,8,descent,nominal,active,0.8,0.15,0.0,0.136,0.191,-9.657,0.013,-0.034,0.09,normal_descent,4.45
2.6,4984.32,-6.427,3.631,25.418,3.63,1.26,-0.49,13.8,2.42,-0.61,0,24.88,25.68,7.49,65.59,81.9,99.3,8,descent,nominal,active,0.8,0.15,0.0,0.271,0.145,-9.933,0.044,-0.009,0.064,normal_descent,4.0
2.65,4984.03,-5.859,3.464,25.45,3.46,1.15,-0.15,13.22,1.1,0.0,0,24.97,25.68,7.66,66.86,82.2,99.3,8,descent,nominal,active,0.8,0.15,0.0,0.096,-0.078,-9.488,0.076,-0.008,-0.001,normal_descent,4.38
2.7,4983.72,-6.057,3.18,25.52,3.18,1.27,-0.02,13.97,3.13,-2.83,0,24.99,25.72,7.82,68.14,82.9,99.3,8,descent,nominal,active,0.8,0.15,0.0,0.051,0.182,-9.399,0.005,-0.007,0.059,normal_descent,4.25
2.75,4983.43,-5.951,3.08,25.94,3.08,1.66,-0.06,13.64,4.91,0.18,0,24.99,26.12,7.97,69.43,83.2,99.3,8,descent,nominal,active,0.8,0.15,0.0,0.367,0.078,-9.693,0.01,-0.017,0.088,normal_descent,4.39
2.8,4983.1,-6.508,3.07,25.545,3.07,1.41,-0.13,14.8,3.68,1.25,0,24.97,25.73,8.13,70.71,83.1,99.3,8,descent,nominal,active,0.8,0.15,0.0,0.192,0.004,-10.133,0.014,-0.01,-0.007,normal_descent,3.95
2.85,4982.79,-6.214,2.77,25.779,2.77,1.56,-0.04,14.3,4.85,-0.26,0,24.99,25.93,8.26,72.0,83.9,99.2,8,descent,nominal,active,0.8,0.15,0.0,0.438,0.19,-9.732,-0.005,0.016,0.097,normal_descent,4.17
2.9,4982.48,-6.131,2.68,25.935,2.68,1.7,0.3,14.85,0.89,-0.72,0,25.07,26.07,8.4,73.3,84.1,99.2,8,descent,nominal,active,0.8,0.15,0.0,0.154,0.136,-9.747,-0.007,0.019,0.017,normal_descent,4.25
2.95,4982.15,-6.696,2.489,25.528,2.49,1.44,0.23,16.04,0.34,1.84,0,25.06,25.65,8.52,74.57,84.4,99.2,8,descent,nominal,active,0.8,0.15,0.0,0.311,0.125,-10.016,-0.002,0.021,0.043,normal_descent,3.83
3.0,4981.85,-6.066,2.672,25.658,2.67,1.4,0.37,14.86,1.41,-1.34,0,25.09,25.8,8.66,75.85,84.1,99.2,8,descent,nominal,active,0.8,0.15,0.0,0.096,0.14,-9.852,-0.036,-0.031,0.091,normal_descent,4.25
3.05,4981.54,-6.029,2.949,25.127,2.95,0.86,0.01,13.97,2.19,0.55,0,25.0,25.3,8.8,77.11,83.3,99.2,8,descent,nominal,active,0.8,0.15,0.0,0.108,0.203,-9.753,0.023,-0.023,0.01,normal_descent,4.2
3.1,4981.25,-5.835,2.911,25.246,2.91,0.94,0.04,13.59,-0.64,-3.25,0,25.01,25.41,8.95,78.37,83.4,99.2,8,descent,nominal,active,0.8,0.15,0.0,0.278,0.158,-10.134,-0.067,0.02,0.082,normal_descent,4.35
3.15,4980.95,-5.97,3.125,25.62,3.13,1.34,0.15,14.16,5.59,2.94,0,25.04,25.81,9.1,79.65,83.0,99.2,8,descent,nominal,active,0.8,0.15,0.0,0.163,0.063,-9.808,-0.009,-0.02,0.129,normal_descent,4.32
3.2,4980.64,-6.276,3.307,25.66,3.31,1.46,0.24,15.07,2.36,-0.38,0,25.06,25.87,9.27,80.94,82.7,99.1,8,descent,nominal,active,0.8,0.15,0.0,0.325,0.197,-9.662,0.019,0.007,0.02,normal_descent,4.12
3.25,4980.32,-6.384,3.66,25.984,3.66,1.81,0.53,15.96,2.84,-1.7,0,25.14,26.24,9.45,82.24,82.0,99.1,8,descent,nominal,active,0.8,0.15,0.0,0.226,0.289,-9.808,0.006,-0.022,0.103,normal_descent,4.11
3.3,4980.02,-6.015,3.593,26.419,3.59,2.15,0.69,15.44,1.74,-1.42,0,25.17,26.66,9.63,83.56,82.3,99.1,8,descent,nominal,active,0.8,0.15,0.0,0.201,0.235,-9.801,-0.006,-0.022,0.103,normal_descent,4.43
3.35,4979.73,-5.847,3.636,25.975,3.64,1.67,0.61,14.87,3.19,1.59,0,25.15,26.23,9.81,84.86,82.0,99.1,8,descent,nominal,active,0.8,0.15,0.0,0.3,0.252,-9.605,0.001,-0.017,0.051,normal_descent,4.49
3.4,4979.45,-5.614,3.834,25.95,3.83,1.59,0.28,13.61,1.13,1.42,0,25.07,26.23,10.01,86.15,81.6,99.1,8,descent,nominal,active,0.8,0.15,0.0,0.168,0.176,-9.85,-0.017,0.005,0.064,normal_descent,4.67
3.45,4979.14,-6.121,3.826,25.844,3.83,1.61,0.01,14.19,2.47,0.57,0,25.0,26.13,10.2,87.45,81.6,99.1,8,descent,nominal,active,0.8,0.15,0.0,0.152,0.276,-10.042,-0.063,-0.037,0.081,normal_descent,4.27
3.5,4978.86,-5.636,3.167,26.005,3.17,1.65,0.36,13.82,6.15,0.15,0,25.08,26.2,10.36,88.75,83.1,99.1,8,descent,nominal,active,0.8,0.15,0.0,0.087,0.134,-9.961,-0.027,-0.007,0.125,normal_descent,4.65
3.55,4978.59,-5.428,3.162,26.395,3.16,1.99,0.31,13.23,2.26,0.02,0,25.07,26.58,10.51,90.07,83.2,99.1,8,descent,nominal,active,0.8,0.15,0.0,0.213,0.228,-9.174,0.026,-0.014,0.129,normal_descent,4.9
3.6,4978.3,-5.727,3.157,26.315,3.16,1.98,0.29,13.89,2.85,1.16,0,25.07,26.5,10.67,91.38,83.2,99.0,8,descent,nominal,active,0.8,0.15,0.0,0.234,0.232,-10.197,0.02,-0.02,0.056,normal_descent,4.63
3.65,4977.99,-6.208,3.331,25.823,3.33,1.61,0.18,14.77,-1.37,-3.11,0,25.04,26.04,10.84,92.67,82.7,99.0,8,descent,nominal,active,0.8,0.15,0.0,0.142,0.157,-9.754,-0.03,0.014,0.082,normal_descent,4.19
3.7,4977.69,-6.004,3.257,25.806,3.26,1.54,0.16,14.24,4.8,-0.09,0,25.04,26.01,11.0,93.96,82.8,99.0,8,descent,nominal,active,0.8,0.15,0.0,0.223,0.23,-10.032,-0.035,-0.022,0.086,normal_descent,4.33
3.75,4977.35,-6.751,2.856,25.382,2.86,1.31,0.02,15.71,2.92,-2.42,0,25.01,25.54,11.14,95.23,83.6,99.0,8,descent,nominal,active,0.8,0.15,0.0,0.159,0.134,-9.872,0.031,-0.014,0.04,normal_descent,3.78
3.8,4977.06,-5.883,2.89,25.553,2.89,1.25,0.37,14.44,0.38,1.42,0,25.09,25.72,11.29,96.51,83.5,99.0,8,descent,nominal,active,0.8,0.15,0.0,0.138,0.29,-9.855,-0.038,0.001,0.03,normal_descent,4.37
3.85,4976.77,-5.833,2.759,25.766,2.76,1.46,0.6,14.83,2.42,-0.41,0,25.15,25.91,11.43,97.8,83.9,99.0,8,descent,nominal,active,0.8,0.15,0.0,0.344,0.188,-9.537,-0.056,-0.006,0.047,normal_descent,4.44
3.9,4976.46,-6.05,3.198,25.641,3.2,1.38,0.65,15.44,2.7,1.87,0,25.17,25.84,11.59,99.08,82.9,99.0,8,descent,nominal,active,0.8,0.15,0.0,0.177,0.144,-9.809,0.013,0.023,0.119,normal_descent,4.27
3.95,4976.15,-6.345,3.164,25.747,3.16,1.57,0.8,16.45,3.02,-5.08,0,25.21,25.94,11.74,100.37,83.0,98.9,8,descent,nominal,active,0.8,0.15,0.0,0.221,0.227,-9.712,0.036,0.006,0.068,normal_descent,4.09
4.0,4975.85,-5.885,2.336,25.435,2.34,1.14,0.84,15.47,1.7,1.38,0,25.21,25.54,11.86,101.64,84.8,98.9,8,descent,nominal,active,0.8,0.15,0.0,0.248,0.021,-9.952,0.041,-0.01,0.124,normal_descent,4.34
4.05,4975.58,-5.515,2.415,25.287,2.41,0.9,0.75,14.41,0.79,0.24,0,25.18,25.4,11.98,102.9,84.5,98.9,8,descent,nominal,active,0.8,0.15,0.0,0.196,-0.019,-9.861,-0.022,0.018,0.046,normal_descent,4.61
4.1,4975.28,-5.933,2.596,24.973,2.6,0.69,0.46,14.75,1.49,1.81,0,25.11,25.11,12.11,104.15,84.1,98.9,8,descent,nominal,active,0.8,0.15,0.0,0.31,0.036,-10.093,0.013,0.009,-0.012,normal_descent,4.23
4.15,4974.99,-5.888,2.768,24.693,2.77,0.4,0.5,14.73,0.38,0.9,0,25.12,24.85,12.25,105.39,83.6,98.9,8,descent,nominal,active,0.8,0.15,0.0,0.17,0.001,-9.636,0.044,0.036,0.059,normal_descent,4.22
4.2,4974.7,-5.77,2.813,24.796,2.81,0.47,0.65,14.78,2.05,-0.51,0,25.16,24.96,12.39,106.63,83.5,98.9,8,descent,nominal,active,0.8,0.15,0.0,0.194,-0.011,-9.893,0.019,0.0,0.034,normal_descent,4.33
4.25,4974.41,-5.773,2.911,24.559,2.91,0.23,0.92,15.39,-0.32,1.36,0,25.23,24.73,12.54,107.85,83.2,98.9,8,descent,nominal,active,0.8,0.15,0.0,0.15,-0.109,-10.019,-0.031,0.001,0.004,normal_descent,4.28
4.3,4974.11,-5.898,2.989,24.678,2.99,0.38,0.99,15.83,2.95,0.6,0,25.25,24.86,12.69,109.09,83.1,98.9,8,descent,nominal,active,0.8,0.15,0.0,-0.011,0.009,-10.246,0.001,-0.0,0.051,normal_descent,4.21
4.35,4973.81,-6.15,3.098,24.544,3.1,0.31,0.92,16.26,1.86,0.36,0,25.24,24.74,12.84,110.32,82.8,98.8,8,descent,nominal,active,0.8,0.15,0.0,0.299,-0.013,-9.649,0.02,-0.019,0.045,normal_descent,4.02
4.4,4973.5,-6.229,2.899,24.455,2.9,0.24,0.97,16.55,-2.39,3.07,0,25.26,24.63,12.99,111.54,83.2,98.8,8,descent,nominal,active,0.8,0.15,0.0,0.104,0.059,-10.058,-0.006,0.002,0.086,normal_descent,3.95
4.45,4973.2,-5.955,2.998,24.607,3.0,0.33,0.99,15.97,-1.65,1.07,0,25.26,24.79,13.14,112.77,83.1,98.8,8,descent,nominal,active,0.8,0.15,0.0,0.185,0.149,-9.901,0.034,-0.013,0.015,normal_descent,4.16
4.5,4972.92,-5.566,2.981,24.705,2.98,0.33,0.67,14.36,-0.67,3.04,0,25.16,24.88,13.28,114.0,83.1,98.8,8,descent,nominal,active,0.8,0.15,0.0,0.177,-0.094,-9.993,0.007,0.026,0.101,normal_descent,4.47
4.55,4972.62,-5.927,2.949,24.767,2.95,0.48,0.63,15.12,-0.47,0.26,0,25.16,24.94,13.43,115.24,83.2,98.8,8,descent,nominal,active,0.8,0.15,0.0,0.211,0.015,-10.09,-0.046,0.013,0.016,normal_descent,4.21
4.6,4972.33,-5.762,2.993,24.699,2.99,0.37,0.86,15.23,1.75,1.23,0,25.21,24.88,13.58,116.48,83.1,98.8,8,descent,nominal,active,0.8,0.15,0.0,0.358,0.077,-9.615,0.037,0.023,0.037,normal_descent,4.32
4.65,4972.02,-6.329,3.15,24.301,3.15,0.12,0.62,16.03,0.38,0.22,0,25.16,24.5,13.74,117.69,82.6,98.8,8,descent,nominal,active,0.8,0.15,0.0,0.33,0.079,-9.513,-0.008,-0.023,-0.001,normal_descent,3.87
4.7,4971.74,-5.66,3.058,24.612,3.06,0.26,0.35,13.87,3.93,-0.07,0,25.08,24.8,13.89,118.92,82.9,98.7,8,descent,nominal,active,0.8,0.15,0.0,0.245,0.026,-9.96,-0.007,-0.004,0.005,normal_descent,4.38
4.75,4971.43,-6.073,2.585,24.368,2.58,0.12,0.27,14.65,-0.0,0.07,0,25.07,24.5,14.02,120.14,83.9,98.7,8,descent,nominal,active,0.8,0.15,0.0,0.131,0.122,-9.843,0.039,0.001,0.007,normal_descent,4.03
4.8,4971.16,-5.484,2.097,24.126,2.1,-0.26,0.12,12.95,-0.03,1.79,0,25.03,24.22,14.13,121.35,85.0,98.7,8,descent,nominal,active,0.8,0.15,0.0,0.201,0.029,-9.715,-0.012,0.02,0.018,normal_descent,4.42
4.85,4970.86,-5.918,2.039,24.275,2.04,-0.01,0.14,14.01,-0.53,-3.02,0,25.03,24.36,14.23,122.56,85.2,98.7,8,descent,nominal,active,0.8,0.15,0.0,0.2,0.116,-10.3,-0.043,-0.024,-0.012,normal_descent,4.12
4.9,4970.55,-6.296,1.919,24.806,1.92,0.61,0.53,15.76,0.75,-2.89,0,25.14,24.88,14.32,123.8,85.6,98.7,8,descent,nominal,active,0.8,0.15,0.0,0.159,0.032,-10.04,-0.057,-0.002,0.001,normal_descent,3.95
4.95,4970.24,-6.229,2.033,24.934,2.03,0.72,0.59,15.72,0.45,1.09,0,25.15,25.02,14.43,125.05,85.3,98.7,8,descent,nominal,active,0.8,0.15,0.0,0.068,0.141,-9.97,0.019,-0.0,-0.005,normal_descent,4.02
5.0,4969.94,-5.816,2.074,25.4,2.07,1.09,0.77,15.15,4.6,-1.57,0,25.19,25.48,14.53,126.32,85.3,98.7,8,descent,nominal,active,0.8,0.15,0.0,0.174,0.169,-9.423,0.059,-0.025,0.027,normal_descent,4.38
5.05,4969.62,-6.397,2.035,25.341,2.03,1.17,0.69,16.34,3.53,-0.39,0,25.18,25.42,14.63,127.59,85.4,98.7,8,descent,nominal,active,0.8,0.15,0.0,0.135,0.063,-9.952,-0.026,0.046,0.068,normal_descent,3.97
5.1,4969.32,-6.056,1.948,24.823,1.95,0.57,0.33,14.74,1.67,1.85,0,25.08,24.9,14.73,128.83,85.5,98.6,8,descent,nominal,active,0.8,0.15,0.0,0.019,-0.123,-10.049,0.04,-0.001,0.067,normal_descent,4.11
